course_id,title,description,tags,text,provider,subject,level,duration_hours,url
openlearn_65afdd455310,Supporting children’s learning in primary education today,This free course explores different aspects of learning and teaching in primary education. It gives opportunities to engage with different types of activities that are designed to develop an ...,,Supporting children’s learning in primary education today This free course explores different aspects of learning and teaching in primary education. It gives opportunities to engage with different types of activities that are designed to develop an ...,OpenLearn (The Open University),education development,Introductory,,https://www.open.edu/openlearn/education-development/supporting-childrens-learning-primary-education-today
openlearn_805a15cd44fe,"Pluralism in Economics: inequalities, innovation, environment","This course will show you the variety within Economics which is used to understand and tackle some of the biggest challenges we face globally: tensions between growth and inequalities, market power...",,"Pluralism in Economics: inequalities, innovation, environment This course will show you the variety within Economics which is used to understand and tackle some of the biggest challenges we face globally: tensions between growth and inequalities, market power...",OpenLearn (The Open University),society politics law,Intermediate,,https://www.open.edu/openlearn/society-politics-law/pluralism-economics-inequalities-innovation-environment
openlearn_4c5a2fd5f0eb,Electromagnetism: testing Coulomb’s law,"This free course explores Coulomb’s law, the physical law that governs the force between electric charges, and shows how it can be verified experimentally. As a prerequisite you will need some ...",,"Electromagnetism: testing Coulomb’s law This free course explores Coulomb’s law, the physical law that governs the force between electric charges, and shows how it can be verified experimentally. As a prerequisite you will need some ...",OpenLearn (The Open University),science maths technology,Intermediate,,https://www.open.edu/openlearn/science-maths-technology/electromagnetism-testing-coulombs-law
openlearn_7006b115ad0c,Retirement planning made easy,This free course on money and retirement planning has been produced by The Open University in collaboration with Legal &amp; General.,,Retirement planning made easy This free course on money and retirement planning has been produced by The Open University in collaboration with Legal &amp; General.,OpenLearn (The Open University),money business,Introductory,,https://www.open.edu/openlearn/money-business/retirement-planning-made-easy
openlearn_9ad3cc21f5d4,"Midlife MOT: wealth, work and wellbeing","Introducing your Midlife MOT. Your midlife years – that is, when you’re between about 40 and 60 – will probably be a very hectic time indeed. You might have ended up in a challenging job, or you ...",,"Midlife MOT: wealth, work and wellbeing Introducing your Midlife MOT. Your midlife years – that is, when you’re between about 40 and 60 – will probably be a very hectic time indeed. You might have ended up in a challenging job, or you ...",OpenLearn (The Open University),midlife mot wealth work and wellbeing,Introductory,,https://www.open.edu/openlearn/midlife-mot-wealth-work-and-wellbeing/content-section-overview
openlearn_b8b0fd3f5a18,Transport and Sustainability,"This free course, Transport and sustainability, explores the issues around sustainable transport and how the role of technology and society can interact to lower the overall impact of transport.",,"Transport and Sustainability This free course, Transport and sustainability, explores the issues around sustainable transport and how the role of technology and society can interact to lower the overall impact of transport.",OpenLearn (The Open University),science maths technology,Intermediate,,https://www.open.edu/openlearn/science-maths-technology/transport-and-sustainability
openlearn_385ac5536907,Supporting adult learners’ positive mental health,"This free course provides educators with an introduction to adult learners’ mental health. The course is designed to develop understanding of the impact mental health has on learning, as well as to...",,"Supporting adult learners’ positive mental health This free course provides educators with an introduction to adult learners’ mental health. The course is designed to develop understanding of the impact mental health has on learning, as well as to...",OpenLearn (The Open University),education development,Introductory,,https://www.open.edu/openlearn/education-development/supporting-adult-learners-positive-mental-health
openlearn_964f50ae6dff,An introduction to floodplain meadows,"This free course, An introduction to floodplain meadows, explores how these traditional landscapes can deliver a range of nature-based solutions that will improve our environment. The course will ...",,"An introduction to floodplain meadows This free course, An introduction to floodplain meadows, explores how these traditional landscapes can deliver a range of nature-based solutions that will improve our environment. The course will ...",OpenLearn (The Open University),nature environment,Introductory,,https://www.open.edu/openlearn/nature-environment/an-introduction-floodplain-meadows
openlearn_a90e269cfeab,What can philosophy tell us about race?,"Categorising human beings into races has had, and continues to have, an enormous impact on people’s lives. Many societies have been shaped by racial divisions and racial discrimination. Race ...",,"What can philosophy tell us about race? Categorising human beings into races has had, and continues to have, an enormous impact on people’s lives. Many societies have been shaped by racial divisions and racial discrimination. Race ...",OpenLearn (The Open University),history the arts,Introductory,,https://www.open.edu/openlearn/history-the-arts/what-can-philosophy-tell-us-about-race
openlearn_aba8a2ae36af,Developing a research question in International Relations,"This free course, taken from the MA in International Relations (Part 2), explores why research questions matter and what makes a good research question. Research questions are vital for any ...",,"Developing a research question in International Relations This free course, taken from the MA in International Relations (Part 2), explores why research questions matter and what makes a good research question. Research questions are vital for any ...",OpenLearn (The Open University),society politics law,Advanced,,https://www.open.edu/openlearn/society-politics-law/developing-research-question-international-relations
